Name	Mass	m/z	RT min	RT	Cel_1dil40_1-B,3_01_21146	Cel_1dil40_1-B,3_01_21151	Cel_1dil40_1-B,3_01_21156	Cel_1dil40_1-B,3_01_21161	Cel_1dil40_1-B,3_01_21166
Cluster_08159	504.1532663	527.1424873	12.10261667	663.5962046	11660.16309	12185.37109	10478.12305	11464.95215	12217.55371
Cluster_08160	504.1525518	527.1417728	5.872168498	498.0679016	1681.083496	2056.44458	2490.475098	2838.443115	2769.889404
Cluster_08162	504.1893238	527.1785448	9.951244106	592.4693852	3780.010254	3411.428711	3306.912842	3351.254395	3307.899414
Cluster_08179	510.1230233	528.1568493	23.61123414	1242.864206	1408.301025	1146.528687	1261.879395	1680.907959	1909.117676
Cluster_08187	505.3188532	528.3080742	23.29799086	1224.947823	2644.636719	2453.553467	2047.315918	1575.340088	1437.71521
Cluster_08192	510.3418814	528.3757074	13.62846893	720.7255384	3093.663086	3141.052979	3536.099121	3504.81958	3900.466553
Cluster_08206	511.2749033	529.3087293	2.141090623	349.014822	1202.780884	1454.103027	1495.929199	1886.472778	1988.602905
Cluster_08216	507.112501	530.101722	9.7932	588.8292824	5535.85791	7488.445313	7355.13916	7177.663574	10392.27539
Cluster_08217	507.1527307	530.1419517	16.94612652	872.6850194	12599.6582	12367.35645	11915.98828	13000.05859	13006.02148
Cluster_08223	512.2535947	530.2874207	17.88496541	920.8184935	1241.571655	1301.780518	1485.029907	1494.390015	1810.429077
Cluster_08230	529.2801447	530.2874207	17.88496541	920.8184935	1241.571655	1301.780518	1485.029907	1494.390015	1810.429077
Cluster_08232	507.3324016	530.3216226	26.81982767	1423.871214	10268.32813	10375.60938	9686.446289	9744.992188	11310.97168
Cluster_08239	512.3129808	530.3468068	32.68393214	1744.121292	1501.311401	1488.247559	1306.812622	1263.524048	1210.548462
Cluster_08249	508.1058629	531.0950839	9.730073764	587.3753465	11520.61035	11792.94043	11561.80566	12499.10449	11928.31836
Cluster_08250	530.1387166	531.1459926	16.946864	872.7213398	3153.404053	3065.75708	2819.360352	3511.122559	2987.132324
Cluster_08254	530.2643324	531.2716084	26.71845968	1418.274145	4343.920898	7089.880859	6664.693359	6991.461426	7125.234863
Cluster_08255	530.2656564	531.2729324	26.71845968	1418.274145	7816.028809	7089.880859	6664.693359	6106.077637	3427.852295
Cluster_08279	514.1857456	532.2195716	23.32777713	1226.65149	1303.499023	1509.910156	1228.057861	1530.335327	1705.067505
Cluster_08280	514.2561928	532.2900188	23.48433333	1235.605938	2441.345947	2628.902588	2408.117188	2482.534912	2777.746582
Cluster_08281	514.2562306	532.2900566	23.53120837	1238.287021	2893.448242	3463.841797	3093.651123	3328.078125	3623.673584
