id	name	formula	inchikey	exactmass
M_3oddcoa_m	3-Oxododecanoyl-CoA(4-)	C33H56N7O18P3S	HQANBZHVWIDNQZ-GMHMEAMDSA-N	963.2615402
M_3oxhcoa_m	3-oxohexacosanoyl-CoA(4-)	C47H84N7O18P3S	VOMUIFOBQMYJPJ-CPIGOPAHSA-N	1159.480641
M_3ohdcoa_m	3-Oxohexadecanoyl-CoA(4-)	C37H64N7O18P3S	NQMPLXPCRJOSHL-BBECNAHFSA-N	1019.32414
M_3ohcoa_c	3-Oxohexanoyl-CoA(4-)	C27H44N7O18P3S	NFOYYXQAVVYWKV-HDRQGHTBSA-N	879.1676398
M_CE2251_m	3-oxoicosanoyl-CoA(4-)	C41H72N7O18P3S	FYBVHNZJDVUVLJ-IBYUJNRCSA-N	1075.386741
M_3oodcoa_c	3-Oxooctadecanoyl-CoA(4-)	C39H68N7O18P3S	LGOGWHDPDVAUNY-LFZQUHGESA-N	1047.355441
M_3oocoa_m	3-oxooctanoyl-CoA(4-)	C29H48N7O18P3S	WPIVBCGRGVNDDT-CECATXLMSA-N	907.1989399
M_CE2253_m	3-oxotetracosanoyl-CoA(4-)	C45H80N7O18P3S	JJSJTIWFKNSCHC-JBKAVQFISA-N	1131.449341
M_3otdcoa_m	3-Oxotetradecanoyl-CoA(4-)	C35H60N7O18P3S	IQNFBGHLIVBNOU-QSGBVPJFSA-N	991.2928403
M_paps_m	3-Phosphoadenylylsulfate(4-)	C10H15N5O13P2S	GACDQMDRPRGCTN-KQYNXXCUSA-N	506.9862307
M_3padsel_c	3-Phosphoadenylylselenate(4-)	C10H11N5O13P2Se	AZRLZPIFEZUZLW-KQYNXXCUSA-N	554.930682
M_3pg_c	3-Phospho-D-glycerate(3-)	C3H7O7P	OSJPPGNTCRNQQC-UWTATZPHSA-N	185.9929396
M_13dpg_c	3-Phospho-D-glyceroylphosphate(4-)	C3H8O10P2	LJQLQCAXBUHEAZ-UWTATZPHSA-N	265.9592705
M_3php_c	3-Phosphohydroxypyruvate(3-)	C3H5O7P	LFLUCDOSQPJJBE-UHFFFAOYSA-N	183.9772895
M_3sala_c	3-Sulfino-L-alanine	C3H7NO4S	ADVPTQAUNPRNPO-REOHCLBHSA-N	153.0095789
M_3snpyr_c	3-Sulfinopyruvate(2-)	C3H4O5S	JXYLQEMXCAAMOL-UHFFFAOYSA-N	151.9779444
M_3spyr_m	3-Sulfopyruvate(2-)	C3H4O6S	BUTHMSUEBYPMKJ-UHFFFAOYSA-N	167.972859
M_3uib_c	3-Ureidoisobutyrate	C5H10N2O3	PHENTZNALBMCQD-UHFFFAOYSA-N	146.0691422
M_4aphdob_c	4-(2-Aminophenyl)-2,4-dioxobutanoate	C10H9NO4	CAOVWYZQMPNAFJ-UHFFFAOYSA-N	207.0531578
M_4aabutn_m	4-Acetamidobutanoate	C6H11NO3	UZTFMUBKZQVKLK-UHFFFAOYSA-N	145.0738932
M_amchb_c	4alpha-Methylcholest-8(14)-en-3beta-ol	C28H48O	UIPYFONRKZTOIY-GQZGFCDBSA-N	400.3705162
M_4abut_m	4-Aminobutanoate	C4H9NO2	BTCSSZJGUNDROE-UHFFFAOYSA-N	103.0633285
M_4cmcoa_c	4-Coumaroyl-CoA(4-)	C30H42N7O18P3S	DMZOKBALNZWDKI-FUEUKBNZSA-N	913.1519897
M_4fumacac_c	4-Fumarylacetoacetate(2-)	C8H8O6	GACSIVHAIFQKTC-OWOJBTEDSA-N	200.032088
M_4h2oglt_c	4-Hydroxy-2-oxoglutarate(2-)	C5H6O6	WXSKVKPSMAHCSG-UHFFFAOYSA-N	162.0164379
M_kynate_c	kynurenate	C10H7NO3	HCZHHEIFKROPDY-UHFFFAOYSA-N	189.0425931
M_4hbzcoa_m	4-hydroxybenzoyl-CoA(4-)	C28H40N7O18P3S	LTVXPVBFJBTNIJ-TYHXJLICSA-N	887.1363396
M_4hbz_m	4-Hydroxybenzoate	C7H6O3	FJKROLUGYXJWQN-UHFFFAOYSA-N	138.0316941
M_4hpro_LT_c	4-hydroxy-L-proline	C5H9NO3	PMMYEEVYMWASQN-BKLSDQPFSA-N	131.0582432
M_4hoxpacd_c	4-Hydroxyphenylacetaldehyde	C8H8O2	IPRPPFIAVHPVJH-UHFFFAOYSA-N	136.0524295
M_4hphac_c	4-Hydroxyphenylacetate	C8H8O3	XQXPVVBIMDBYFF-UHFFFAOYSA-N	152.0473441
M_4izp_c	4-Imidazolone-5-propanoate	C6H8N2O3	HEXMLHKQVUFYME-UHFFFAOYSA-N	156.0534921
M_4mlacac_c	4-Maleylacetoacetate(2-)	C8H8O6	GACSIVHAIFQKTC-UPHRSURJSA-N	200.032088
M_4mop_c	4-Methyl-2-oxopentanoate	C6H10O3	BKAJNAXTPSGJCU-UHFFFAOYSA-N	130.0629942
M_4ogm_c	4-oxoglutaramate	C5H7NO4	UGKYJAWJZICPEX-UHFFFAOYSA-N	145.0375077
M_4tmeabut_c	4-Trimethylammoniobutanal	C7H16NO	OITBLCDWXSXNCN-UHFFFAOYSA-N	130.1226406
M_4tmeabutn_c	4-Trimethylammoniobutanoate	C7H15NO2	JHPNVNIEXXLNTR-UHFFFAOYSA-N	145.1102787
